Maulana Muhammad Abdullah-el Baqui,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Abdul Hamid ,Constituent Assembly of Pakistan (1947)
Mr. Abdul Kasem Khan,Constituent Assembly of Pakistan (1947)
Maulana Mohammad Akrum Khan ,Constituent Assembly of Pakistan (1947)
Mr. A.M. Hamid ,Constituent Assembly of Pakistan (1947)
Mr. Azizuddin Ahmad,Constituent Assembly of Pakistan (1947)
"The Honourable Mr. Muhammad Habibullah Bahar, ",Constituent Assembly of Pakistan (1947)
Mr. Prem hari Barma,Constituent Assembly of Pakistan (1947)
Prof. Raj Kumar Chakraverty ,Constituent Assembly of Pakistan (1947)
Mr. Sris Chandra Chattopadhyaya,Constituent Assembly of Pakistan (1947)
Mr. Abdul Matin Chaudhary,Constituent Assembly of Pakistan (1947)
Mr. Murtaza Raza Chaudhry,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Hamidul Huq Chaudhry,Constituent Assembly of Pakistan (1947)
Mr. Akhay Kumar Das,Constituent Assembly of Pakistan (1947)
Mr. Dhirendra Nath Datta,Constituent Assembly of Pakistan (1947)
Mr. Bhupendra Kumar Datta,Constituent Assembly of Pakistan (1947)
"Moulavi M.A., B.L. Ebrahim Khan",Constituent Assembly of Pakistan (1947)
Mr. A.K. Fazlul Huq,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Fazlur Rahman,Constituent Assembly of Pakistan (1947)
Mr. Ghayasuddin Pathan,Constituent Assembly of Pakistan (1947)
Begum Shaista Suhrawardy Ikramullah,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Liaquat Ali Khan,Constituent Assembly of Pakistan (1947)
Mr. Mafizuddin Ahmad,Constituent Assembly of Pakistan (1947)
Dr. Mahmud Hussain ,Constituent Assembly of Pakistan (1947)
Mr. Jnanendra Chandra Majumdar,Constituent Assembly of Pakistan (1947)
Dr. A.M. Malik,Constituent Assembly of Pakistan (1947)
Mr. Birat Chandra Mandal ,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Jogendra Nat Mandal,Constituent Assembly of Pakistan (1947)
Mr. Mohammed Ali ,Constituent Assembly of Pakistan (1947)
The Honourable Khwaja Nazimuddin,Constituent Assembly of Pakistan (1947)
Mr. Nur Ahmed,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Nurul Amin,Constituent Assembly of Pakistan (1947)
Prof. Ishtiaq Hussain Qureshi,Constituent Assembly of Pakistan (1947)
Sri Dhananjoy Roy,Constituent Assembly of Pakistan (1947)
Maudi Bhakesh Chanda,Constituent Assembly of Pakistan (1947)
Mr. Serajul Islam ,Constituent Assembly of Pakistan (1947)
Maulana Shabbir Ahmad Osmani,Constituent Assembly of Pakistan (1947)
The Honourable Shahabudin Khwaja,Constituent Assembly of Pakistan (1947)
Mr. H.S. Suhrawardy,Constituent Assembly of Pakistan (1947)
Mr. Harendra Kumar Sur ,Constituent Assembly of Pakistan (1947)
Mr. Tamizuddin Khan,Constituent Assembly of Pakistan (1947)
Mr. Kawivi Kerwar Datta,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Ghulam Mohammed.,Constituent Assembly of Pakistan (1947)
Mian Mumtaz Mohammad Khan Daultana,Constituent Assembly of Pakistan (1947)
Mr. Ganga Saran ,Constituent Assembly of Pakistan (1947)
The Honourable Sir Zafrullah Khan ,Constituent Assembly of Pakistan (1947)
The Honourable Khan Iftikhar Hussain Khan of Mamdot,Constituent Assembly of Pakistan (1947)
Mian Muhammad Iftikharuddin ,Constituent Assembly of Pakistan (1947)
Quaid- I -Azam Muhammad Ali Jinnah,Constituent Assembly of Pakistan (1947)
Sheikh Karamat Ali,Constituent Assembly of Pakistan (1947)
Mr. Nazir Ahmad Khan ,Constituent Assembly of Pakistan (1947)
The Honourable Sardar Abdur Rab Khan Nishtar,Constituent Assembly of Pakistan (1947)
Malik Mohammad Firoz Khan Noon ,Constituent Assembly of Pakistan (1947)
Dr. Omar Hayat Malik ,Constituent Assembly of Pakistan (1947)
Shah Nawaz Begum Jahan Ara ,Constituent Assembly of Pakistan (1947)
Sardar Shaukat Hyat Khan,Constituent Assembly of Pakistan (1947)
Khan Abdul Ghafar Khan,Constituent Assembly of Pakistan (1947)
Khan Sardar Bahadur Khan ,Constituent Assembly of Pakistan (1947)
Sardar Asad Ullah Jan Khan,Constituent Assembly of Pakistan (1947)
The Honourable Pirzada Abdus Sattar Abdur Rahman,Constituent Assembly of Pakistan (1947)
Alhajj Muhammad Hashim Gazder,Constituent Assembly of Pakistan (1947)
Mr. M.A. Khuro,Constituent Assembly of Pakistan (1947)
S. B. Nawab Mohammad Khan Jogezai,Constituent Assembly of Pakistan (1947)
General Janet Wolfenbarger,Defense Advisory committee on Women in the Services
Sharlene Hawkes,Defense Advisory committee on Women in the Services
Doctor Jackie Young,Defense Advisory committee on Women in the Services
Monica Medina,Defense Advisory committee on Women in the Services
Pat Locke,Defense Advisory committee on Women in the Services
Command Sergeant Major Michele Jones,Defense Advisory committee on Women in the Services
Lieutenant General Judy Fedder,Defense Advisory committee on Women in the Services
Rear Admiral Caril Thomas,Defense Advisory committee on Women in the Services
Doctor Kyleanne Hunter,Defense Advisory committee on Women in the Services
Fleet Master Chief Joann Marie Ortloff,Defense Advisory committee on Women in the Services
Doctor Kristy Anderson,Defense Advisory committee on Women in the Services
Major General Sharon Dunbar,Defense Advisory committee on Women in the Services
Vice Admiral Carol Pottenger,Defense Advisory committee on Women in the Services
Sergeat Major Norma Helsham,Defense Advisory committee on Women in the Services
Theresa Hughes,Defense Advisory committee on Women in the Services
Janie Mines,Defense Advisory committee on Women in the Services
Major General John Macdonald,Defense Advisory committee on Women in the Services
Colonel John Boggs,Defense Advisory committee on Women in the Services
Sergeant Major of the Army Kenneth Preston,Defense Advisory committee on Women in the Services
Brian Morrison,Defense Advisory committee on Women in the Services
Rachel Gaddes,Defense Advisory committee on Women in the Services
Fleet Master Chief Jacqueline DiRosa,Defense Advisory committee on Women in the Services
Captain Beverly Kelley,Defense Advisory committee on Women in the Services
Lieutenant Colonel Hae-Sue Park,Defense Advisory committee on Women in the Services
Nancy Duff Campbell,Defense Advisory committee on Women in the Services
Brigadier General Maureen LeBoeuf,Defense Advisory committee on Women in the Services
Honourable Deborah Lee James,Defense Advisory committee on Women in the Services
Lieutenant General Frances Wilson,Defense Advisory committee on Women in the Services
Colonel Margarethe Cammermey,Defense Advisory committee on Women in the Services
Brigadier General Julia Cleckley,Defense Advisory committee on Women in the Services
Army Major General Gale Pollock,Defense Advisory committee on Women in the Services
Gary Bettman,National Hockey League
Ryan Getzlaf,National Hockey League
Zdeno Chara,National Hockey League
Mark Giordano,National Hockey League
Jonathan Toews,National Hockey League
Connor McDavid,National Hockey League
Don Fehr,National Hockey League
Max Pacioretty,National Hockey League
Roman Josi,National Hockey League
John Tavares,National Hockey League
Erik Karlsson,National Hockey League
Claude Giroux,National Hockey League
Sidney Crosby ,National Hockey League
Alex Pietrangelo,National Hockey League
Steven Stamkos,National Hockey League
Morgan Rielly,National Hockey League
Alexander Edler,National Hockey League
Luca Sbisa,National Hockey League
Alex Ovechkin,National Hockey League
Blake Wheeler,National Hockey League
Henry Samueli,National Hockey League
Andrew Barroway,National Hockey League
Jeremy Jacobs,National Hockey League
Terrence Pegula,National Hockey League
N. Murray Edwards,National Hockey League
Thomas Dundon,National Hockey League
Rocky Wirtz,National Hockey League
Ann Walton Kroenke,National Hockey League
John P. McConnell,National Hockey League
Tom Gaglardi,National Hockey League
Christopher Ilitch ,National Hockey League
Daryl Katz,National Hockey League
Vincent Viola,National Hockey League
Philip Anschutz,National Hockey League
Craig Leipold,National Hockey League
Geoffrey Molson ,National Hockey League
Thomas Cigarran ,National Hockey League
Joshua Harris,National Hockey League
Jon Ledecky,National Hockey League
James Dolan ,National Hockey League
Eugene Melnyk,National Hockey League
Brian Roberts,National Hockey League
Mario Lemieux,National Hockey League
Hasso Plattner,National Hockey League
Tom Stillman,National Hockey League
Jeffrey Vinik,National Hockey League
Larry Tanenbaum ,National Hockey League
Francesco Aquilini ,National Hockey League
Bill Foley,National Hockey League
Ted Leonsis,National Hockey League
Mark Chipman,National Hockey League
Leon Shenandoah,Royal Commission on Aboriginal Peoples
General John de Chastelaine,Royal Commission on Aboriginal Peoples
Tom Siddon,Royal Commission on Aboriginal Peoples
Ellen Gabriel,Royal Commission on Aboriginal Peoples
Lt. Gen. Kent Foster,Royal Commission on Aboriginal Peoples
Dan Smith,Royal Commission on Aboriginal Peoples
Yvon Dumont,Royal Commission on Aboriginal Peoples
John Ciaccia,Royal Commission on Aboriginal Peoples
Martha Flaherty,Royal Commission on Aboriginal Peoples
Rosemarie Kuptana,Royal Commission on Aboriginal Peoples
Mike Manentakeron Mitchell,Royal Commission on Aboriginal Peoples
Tony Penikett,Royal Commission on Aboriginal Peoples
Grand Chief of the Council of Yukon First Nations,Royal Commission on Aboriginal Peoples
Dennis Patterson,Royal Commission on Aboriginal Peoples
Regional Chief of the Northwest Territories,Royal Commission on Aboriginal Peoples
Roy Romanow,Royal Commission on Aboriginal Peoples
Roland Crowe,Royal Commission on Aboriginal Peoples
Bob Rae,Royal Commission on Aboriginal Peoples
Regional Chief of Ontario,Royal Commission on Aboriginal Peoples
Robert Bourassa,Royal Commission on Aboriginal Peoples
Grand Chief Matthew Coon Come,Royal Commission on Aboriginal Peoples
Mike Harcourt,Royal Commission on Aboriginal Peoples
Grand Chief Saul Terry,Royal Commission on Aboriginal Peoples
Don Getty,Royal Commission on Aboriginal Peoples
Grand Chief of the Confederacy of Treaty No. 6 First Nations,Royal Commission on Aboriginal Peoples
Gary Filmon,Royal Commission on Aboriginal Peoples
Grand Chief of the Assembly of Manitoba Chiefs,Royal Commission on Aboriginal Peoples
Frank McKenna,Royal Commission on Aboriginal Peoples
Executive Director of Union of New Brunswick Indians,Royal Commission on Aboriginal Peoples
Clyde Wells,Royal Commission on Aboriginal Peoples
Executive Director of the Atlantic Policy Congress of First Nations Chiefs Secretariat,Royal Commission on Aboriginal Peoples
Donald Cameron,Royal Commission on Aboriginal Peoples
Elijah Harper,Royal Commission on Aboriginal Peoples
Jim Bourque,Royal Commission on Aboriginal Peoples
Bill Erasmus,Royal Commission on Aboriginal Peoples
Jerry Peltier,Royal Commission on Aboriginal Peoples
Keith Penner,Royal Commission on Aboriginal Peoples
Harold Cardinal,Royal Commission on Aboriginal Peoples
Claude Ryan,Royal Commission on Aboriginal Peoples
Georges-Émile Lapalme,Assemblée nationale du Québec
Laurent Barre,Assemblée nationale du Québec
René Hamel,Assemblée nationale du Québec
Antonio Barrette,Assemblée nationale du Québec
Paul Gérin-Lajoie,Assemblée nationale du Québec
Maurice-Tréflé Custeau,Assemblée nationale du Québec
Alcide Courcy,Assemblée nationale du Québec
Edgar Charbonneau,Assemblée nationale du Québec
René Lévesque,Assemblée nationale du Québec
Paul Dozois,Assemblée nationale du Québec
Charles-Aimé Kirkland,Assemblée nationale du Québec
Gérard Thibeault,Assemblée nationale du Québec
Paul Earl,Assemblée nationale du Québec
Lucien Tremblay,Assemblée nationale du Québec
Gérard Cournoyer,Assemblée nationale du Québec
Maurice Cloutier,Assemblée nationale du Québec
Bernard Pinard,Assemblée nationale du Québec
Armand Maltais,Assemblée nationale du Québec
Émilien Lafrance,Assemblée nationale du Québec
Yves Gabias,Assemblée nationale du Québec
Lionel Bertrand,Assemblée nationale du Québec
Charles Romulus Ducharme,Assemblée nationale du Québec
Alphonse Couturier,Assemblée nationale du Québec
Antonio Talbot,Assemblée nationale du Québec
Gérard D. Lévesque,Assemblée nationale du Québec
Joseph-André Larouche,Assemblée nationale du Québec
André Rousseau,Assemblée nationale du Québec
Arthur Leclerc,Assemblée nationale du Québec
Bona Arsenault,Assemblée nationale du Québec
Joseph Maurice Laberge,Assemblée nationale du Québec
Jean Jacques Bédard,Assemblée nationale du Québec
Gérard Desjardins,Assemblée nationale du Québec
John Richard Hyde,Assemblée nationale du Québec
Camille-Eugène Pouliot,Assemblée nationale du Québec
Philippe Lalonde,Assemblée nationale du Québec
Hormisdas Langlais,Assemblée nationale du Québec
George O’Reilly,Assemblée nationale du Québec
Roméo Lorrain,Assemblée nationale du Québec
Harry Blank,Assemblée nationale du Québec
Frank Hanley,Assemblée nationale du Québec
Lucien Cliche,Assemblée nationale du Québec
Maurice Cloutier,Assemblée nationale du Québec
Henri-Laurier Coiteux,Assemblée nationale du Québec
Armand Maltais,Assemblée nationale du Québec
Jean-Claude Plourde,Assemblée nationale du Québec
Yves Gabias,Assemblée nationale du Québec
Lucien Collard,Assemblée nationale du Québec
Charles Romulus Ducharme,Assemblée nationale du Québec
Jean-Noel Lavoie,Assemblée nationale du Québec
Antonio Talbot,Assemblée nationale du Québec
Louis-Philippe Brousseau,Assemblée nationale du Québec
Joseph-André Larouche,Assemblée nationale du Québec
Claude Jourdain,Assemblée nationale du Québec
Arthur Leclerc,Assemblée nationale du Québec
Roger Roy,Assemblée nationale du Québec
Joseph Maurice Laberge,Assemblée nationale du Québec
Gaston Binette,Assemblée nationale du Québec
Gérard Desjardins,Assemblée nationale du Québec
